777	242	4	881250949
777	302	2	891717742
777	377	5	878887116
777	51	5	880606923
777	346	3	886397596
777	474	3	884182806
777	265	2	881171488
777	465	3	891628467
777	451	2	886324817
777	86	2	883603013
777	257	1	879372434
777	1014	4	879781125
777	222	5	876042340
777	40	1	891035994
777	29	3	888104457
777	785	2	879485318
777	387	3	879270459
777	274	4	879539794
777	1042	4	874834944
777	1184	5	892079237
777	392	4	886176814
777	486	3	892738452
777	144	4	877881320
777	118	3	874833878
777	1	4	887736532
777	546	2	879196566
777	95	4	892430094
777	768	2	883748450
777	277	5	875747401
777	234	3	876861185
